원료명,영문명,CAS_No,설명_요약,태그_목록,상세_URL
히솝추출물,,,,"추출물, 향료, 컨디셔닝, 탈취/소취/향, EWG GREEN, 🇨🇳중국 수출 가능, 🇯🇵일본 수출 가능, 🇪🇺유럽 수출 가능, KO, EN, JP, AI, AI, EU, EWG, 식, AI, AI, 가능, 가능",https://coos.kr/ingredients/%ED%9E%88%EC%86%9D%EC%B6%94%EC%B6%9C%EB%AC%BC
히비스커스꽃,,,,"추출물, 컨디셔닝, 항산화, EWG GREEN, 🇯🇵일본 수출 가능, 🇪🇺유럽 수출 가능, KO, EN, JP, AI, AI, EU, 식, AI, 불가, 가능",https://coos.kr/ingredients/%ED%9E%88%EB%B9%84%EC%8A%A4%EC%BB%A4%EC%8A%A4%EA%BD%83
히더꽃추출물,,,,"추출물, 첨가제/액티브, 컨디셔닝, 자극 완화/진정, 🇯🇵일본 수출 가능, 🇪🇺유럽 수출 가능, KO, EN, JP, AI, AI, EU, 식, AI, AI, 불가, 가능",https://coos.kr/ingredients/%ED%9E%88%EB%8D%94%EA%BD%83%EC%B6%94%EC%B6%9C%EB%AC%BC
히더꽃수,,,,"추출물, 컨디셔닝, 🇪🇺유럽 수출 가능, KO, EN, AI, EU, 식, AI, 불가, 불가",https://coos.kr/ingredients/%ED%9E%88%EB%8D%94%EA%BD%83%EC%88%98
흰전나무씨오일,,,,"오일/에몰리언트, 항산화제, 항산화, 항균/항염, 🇪🇺유럽 수출 가능, KO, EN, JP, AI, AI, AI, EU, 식, AI, AI, 불가, 가능",https://coos.kr/ingredients/%ED%9D%B0%EC%A0%84%EB%82%98%EB%AC%B4%EC%94%A8%EC%98%A4%EC%9D%BC
흰민들레추출물,,,,"추출물, 항산화, 항균/항염, 컨디셔닝, 🇪🇺유럽 수출 가능, KO, EN, AI, AI, AI, EU, 식, AI, 불가, 불가",https://coos.kr/ingredients/%ED%9D%B0%EB%AF%BC%EB%93%A4%EB%A0%88%EC%B6%94%EC%B6%9C%EB%AC%BC
히노키티올,,,,"향료, 첨가제/액티브, 컨디셔닝, 탈취/소취/향, EWG GREEN, 🇨🇳중국 수출 가능, 🇯🇵일본 수출 가능, 🇪🇺유럽 수출 가능, KO, EN, JP, AI, AI, EU, EWG, 식, AI, AI, 가능, 가능",https://coos.kr/ingredients/%ED%9E%88%EB%85%B8%ED%82%A4%ED%8B%B0%EC%98%AC
히오스신,,,,"항산화제, 항산화, AI, AI, 불가, 불가",https://coos.kr/ingredients/%ED%9E%88%EC%98%A4%EC%8A%A4%EC%8B%A0
히비스커스꽃추출물,,,,"추출물, 컨디셔닝, 각질 제거, EWG GREEN, 🇨🇳중국 수출 가능, 🇯🇵일본 수출 가능, 🇪🇺유럽 수출 가능, KO, EN, JP, AI, AI, EU, EWG, 식, AI, 가능, 가능",https://coos.kr/ingredients/%ED%9E%88%EB%B9%84%EC%8A%A4%EC%BB%A4%EC%8A%A4%EA%BD%83%EC%B6%94%EC%B6%9C%EB%AC%BC
히비스커스씨오일,,,,"오일/에몰리언트, 보습, 피부 영양 공급, EWG GREEN, 🇯🇵일본 수출 가능, 🇪🇺유럽 수출 가능, KO, EN, JP, AI, AI, EU, 식, AI, 불가, 가능",https://coos.kr/ingredients/%ED%9E%88%EB%B9%84%EC%8A%A4%EC%BB%A4%EC%8A%A4%EC%94%A8%EC%98%A4%EC%9D%BC
