brand,product_name,product_full,standard_key,korean_name,english_name,family,pH,source_text,match_type,match_score
차앤박,더마앤서 PDRN 앰플,차앤박 더마앤서 PDRN 앰플,피피지-17,피피지-17,,,,피피지-17,exact,100
성분에디터,실크펩타이드 EGF 하트핏 볼륨 리프팅 앰플 더블기획,성분에디터 실크펩타이드 EGF 하트핏 볼륨 리프팅 앰플 더블기획,폴릭애씨드,폴릭애씨드,,,,폴릭애씨드,exact,100
차앤박,프로폴리스 트리트먼트 앰플 에센스,차앤박 프로폴리스 트리트먼트 앰플 에센스,피피지-17,피피지-17,,,,피피지-17,exact,100
라로슈포제,멜라B3 세럼,라로슈포제 멜라B3 세럼,피피지-16,피피지-16,,,,피피지-16,exact,100
라로슈포제,순수 비타민 C12 세럼,라로슈포제 순수 비타민 C12 세럼,피피지-16,피피지-16,,,,피피지-16,exact,100
넘버즈인,9번 엔엠엔 바이오 리프팅 원액에센스,넘버즈인 9번 엔엠엔 바이오 리프팅 원액에센스,히스티딘,히스티딘,,,,히스티딘,exact,100
[쏙보습,크리니크 모이스춰 써지 액티브 글로우 세럼 /단품,[쏙보습 크리니크 모이스춰 써지 액티브 글로우 세럼 /단품,피이지-10,피이지-10,,,,피이지-10,exact,100
믹순,콩 에센스,믹순 콩 에센스,락토바실러스,락토바실러스,,,,락토바실러스,exact,100
일소,모링가 타이트닝 포어 세럼,일소 모링가 타이트닝 포어 세럼,피피지-17,피피지-17,,,,피피지-17,exact,100
나노레시피,"바쿠치올 ,000ppm 앰플","나노레시피 바쿠치올 ,000ppm 앰플",부틸렌글라이콜,부틸렌글라이콜,,,,부틸렌글라이콜,exact,100
믹순,갈락토미세스 발효 에센스,믹순 갈락토미세스 발효 에센스,갈락토미세스발효여과물,갈락토미세스발효여과물,,,,갈락토미세스발효여과물,exact,100
라로슈포제,에빠끌라 AI,라로슈포제 에빠끌라 AI,메틸메타크릴레이트,메틸메타크릴레이트,,,,메틸메타크릴레이트,exact,100
믹순,콩 에센스,믹순 콩 에센스,락토바실러스,락토바실러스,,,,락토바실러스,exact,100
차앤박(CNP),차앤박 프로폴리스 트리트먼트 앰플 에센스,차앤박(CNP) 차앤박 프로폴리스 트리트먼트 앰플 에센스,피피지-17,피피지-17,,,,피피지-17,exact,100
에필로우,차가버섯 비피다 바이옴 매끈결 앰플,에필로우 차가버섯 비피다 바이옴 매끈결 앰플,쌀발효여과물,쌀발효여과물,,,,쌀발효여과물,exact,100
빌리프,슈퍼드랍스 글로우 세럼,빌리프 슈퍼드랍스 글로우 세럼,피이지-10,피이지-10,,,,피이지-10,exact,100
더후,비첩 자생 에센스,더후 비첩 자생 에센스,폴릭애씨드,폴릭애씨드,,,,폴릭애씨드,exact,100
더후,비첩 자생 에센스,더후 비첩 자생 에센스,판토테닉애씨드,판토테닉애씨드,,,,판토테닉애씨드,exact,100
더후,비첩 자생 에센스,더후 비첩 자생 에센스,피리독신,피리독신,,,,피리독신,exact,100
더후,비첩 자생 에센스,더후 비첩 자생 에센스,리보플라빈,리보플라빈,,,,리보플라빈,exact,100
더후,비첩 자생 에센스 디스커버리,더후 비첩 자생 에센스 디스커버리,폴릭애씨드,폴릭애씨드,,,,폴릭애씨드,exact,100
더후,비첩 자생 에센스 디스커버리,더후 비첩 자생 에센스 디스커버리,판토테닉애씨드,판토테닉애씨드,,,,판토테닉애씨드,exact,100
더후,비첩 자생 에센스 디스커버리,더후 비첩 자생 에센스 디스커버리,피리독신,피리독신,,,,피리독신,exact,100
더후,비첩 자생 에센스 디스커버리,더후 비첩 자생 에센스 디스커버리,리보플라빈,리보플라빈,,,,리보플라빈,exact,100
퍼셀,익스트림 이펙트 터피네올,퍼셀 익스트림 이펙트 터피네올,4-터피네올,4-터피네올,,,,4-터피네올,exact,100
설화수,맨 본윤에센스,설화수 맨 본윤에센스,피피지-17,피피지-17,,,,피피지-17,exact,100
도미나스,앳클리닉 보르피린 링클 샷 앰플,도미나스 앳클리닉 보르피린 링클 샷 앰플,피피지-20,피피지-20,,,,피피지-20,exact,100
성분에디터,실크펩타이드 EGF 하트핏 볼륨 리프팅 앰플,성분에디터 실크펩타이드 EGF 하트핏 볼륨 리프팅 앰플,폴릭애씨드,폴릭애씨드,,,,폴릭애씨드,exact,100
폴라초이스,스킨퍼펙팅 바하 리퀴드,폴라초이스 스킨퍼펙팅 바하 리퀴드,피피지-17,피피지-17,,,,피피지-17,exact,100
넘버즈인,3번 결광가득 에센스 토너,넘버즈인 3번 결광가득 에센스 토너,쌀겨추출물,쌀겨추출물,,,,쌀겨추출물,exact,100
넘버즈인,3번 결광가득 에센스 토너,넘버즈인 3번 결광가득 에센스 토너,글루코오스,글루코오스,,,,글루코오스,exact,100
넘버즈인,3번 결광가득 에센스 토너,넘버즈인 3번 결광가득 에센스 토너,콩,콩,,,,콩,exact,100
설화수,자음수EX,설화수 자음수EX,피피지-17,피피지-17,,,,피피지-17,exact,100
폴라초이스,스킨 퍼펙팅 바하 리퀴드,폴라초이스 스킨 퍼펙팅 바하 리퀴드,피피지-17,피피지-17,,,,피피지-17,exact,100
이니스프리,화산송이 파하 매끈결 토너,이니스프리 화산송이 파하 매끈결 토너,락틱애씨드,락틱애씨드,,,,락틱애씨드,exact,100
라네즈옴므,액티브워터 스킨,라네즈옴므 액티브워터 스킨,피피지-17,피피지-17,,,,피피지-17,exact,100
