brand,product_name,product_full,standard_ingredients,num_ingredients
웰라쥬,리얼 히알루로닉 블루 앰플,웰라쥬 리얼 히알루로닉 블루 앰플,,0
메디힐,마데카소사이드 리페어 세럼,메디힐 마데카소사이드 리페어 세럼,,0
브링그린,징크테카 트러블 세럼,브링그린 징크테카 트러블 세럼,,0
구달,청귤 비타C 잡티케어 세럼,구달 청귤 비타C 잡티케어 세럼,,0
메디큐브,PDRN 핑크 앰플 리필기획,메디큐브 PDRN 핑크 앰플 리필기획,,0
토리든,다이브인 저분자 히알루론산 세럼 한정기획,토리든 다이브인 저분자 히알루론산 세럼 한정기획,,0
아누아,피디알엔 히알루론산 캡슐 세럼 기획세트,아누아 피디알엔 히알루론산 캡슐 세럼 기획세트,,0
차앤박,프로폴리스 에너지 액티브 앰플 리필기획,차앤박 프로폴리스 에너지 액티브 앰플 리필기획,,0
파티온,노스카나인 트러블 세럼,파티온 노스카나인 트러블 세럼,,0
토리든,다이브인 저분자 히알루론산 세럼,토리든 다이브인 저분자 히알루론산 세럼,,0
차앤박,더마앤서 PDRN 앰플,차앤박 더마앤서 PDRN 앰플,피피지-17,1
에스네이처,아쿠아 스쿠알란 세럼,에스네이처 아쿠아 스쿠알란 세럼,,0
파티온,노스카나인 트러블 세럼,파티온 노스카나인 트러블 세럼,,0
VT,리들샷 에센스,VT 리들샷 에센스,,0
피지오겔,사이언수티컬즈 데일리뮨 앰플 세럼 2입기획,피지오겔 사이언수티컬즈 데일리뮨 앰플 세럼 2입기획,,0
아비브,어성초 테카 캡슐 세럼 카밍드롭,아비브 어성초 테카 캡슐 세럼 카밍드롭,,0
메디큐브,제로 원데이 세럼 더블기획,메디큐브 제로 원데이 세럼 더블기획,,0
한율,어린쑥 속수분 쑥히알 세럼,한율 어린쑥 속수분 쑥히알 세럼,,0
토리든,다이브인 저분자 히알루론산 세럼,토리든 다이브인 저분자 히알루론산 세럼,,0
리쥬란,힐러 턴오버 앰플 듀얼 이펙트 한정기획,리쥬란 힐러 턴오버 앰플 듀얼 이펙트 한정기획,,0
퍼셀,20억/mL 픽셀바이옴 원액,퍼셀 20억/mL 픽셀바이옴 원액,,0
셀리맥스,더 리얼 노니 에너지 앰플,셀리맥스 더 리얼 노니 에너지 앰플,,0
아누아,TXA 나이아신 세럼,아누아 TXA 나이아신 세럼,,0
성분에디터,실크펩타이드 EGF 하트핏 볼륨 리프팅 앰플 더블기획,성분에디터 실크펩타이드 EGF 하트핏 볼륨 리프팅 앰플 더블기획,폴릭애씨드,1
파넬,시카마누 92세럼 더블기획,파넬 시카마누 92세럼 더블기획,,0
프리메라,비타티놀 바운시 리프트 세럼,프리메라 비타티놀 바운시 리프트 세럼,,0
비긴스,바이 정샘물 핑크 구아바 글루타치온 세럼,비긴스 바이 정샘물 핑크 구아바 글루타치온 세럼,,0
디오디너리,나이아신아마이드 %,디오디너리 나이아신아마이드 %,,0
넘버즈인,3번 보들보들 결 세럼 리필기획,넘버즈인 3번 보들보들 결 세럼 리필기획,,0
VT,리들샷 에센스,VT 리들샷 에센스,,0
에스트라,에이시카365 흔적진정세럼 pH4.,에스트라 에이시카365 흔적진정세럼 pH4.,,0
토리든,밸런스풀 시카 컨트롤 세럼,토리든 밸런스풀 시카 컨트롤 세럼,,0
아이오페,레티놀 슈퍼 바운스 세럼 한정기획,아이오페 레티놀 슈퍼 바운스 세럼 한정기획,,0
아이소이,브라이트닝 잡티세럼,아이소이 브라이트닝 잡티세럼,,0
아벤느,이드랑스 에센스-인-로션 2입기획,아벤느 이드랑스 에센스-인-로션 2입기획,,0
성분에디터,그린토마토 NMN 포어 리프팅 앰플 더블기획,성분에디터 그린토마토 NMN 포어 리프팅 앰플 더블기획,,0
라운드랩,소나무 시카 앰플,라운드랩 소나무 시카 앰플,,0
메디힐,PDRN 세럼,메디힐 PDRN 세럼,,0
빌리프,슈퍼드랍스 멀티7 히알루론세럼,빌리프 슈퍼드랍스 멀티7 히알루론세럼,,0
라로슈포제,히알루B5 세럼,라로슈포제 히알루B5 세럼,,0
VT,피디알엔 에센스,VT 피디알엔 에센스,,0
셀라딕스,트러블 세범 리밸런싱 RX 앰플,셀라딕스 트러블 세범 리밸런싱 RX 앰플,,0
아누아,어성초 앰플,아누아 어성초 앰플,,0
아벤느,시칼파트,아벤느 시칼파트,,0
한율,보들은행잎 모공핏 세럼,한율 보들은행잎 모공핏 세럼,,0
라로슈포제,에빠끌라 듀오,라로슈포제 에빠끌라 듀오,,0
디오디너리,나이아신아마이드 %,디오디너리 나이아신아마이드 %,,0
넘버즈인,5번 글루타치온C 앰플,넘버즈인 5번 글루타치온C 앰플,,0
라로슈포제,시카플라스트 리페어 에센스,라로슈포제 시카플라스트 리페어 에센스,,0
더마토리,히알샷 베리어 B5 앰플 리필기획,더마토리 히알샷 베리어 B5 앰플 리필기획,,0
아이소이,브라이트닝 잡티세럼 *,아이소이 브라이트닝 잡티세럼 *,,0
아누아,복숭아 나이아신아마이드 세럼,아누아 복숭아 나이아신아마이드 세럼,,0
넘버즈인,1번 판토텐산 액티브업 수딩세럼 리필기획,넘버즈인 1번 판토텐산 액티브업 수딩세럼 리필기획,,0
디마르3,앰플 증정기획,디마르3 앰플 증정기획,,0
에스트라,아토베리어365 하이드로에센스,에스트라 아토베리어365 하이드로에센스,,0
바이오더마,하이드라비오 세럼,바이오더마 하이드라비오 세럼,,0
클레어스,블루 EGF 앰플,클레어스 블루 EGF 앰플,,0
넘버즈인,1번 판토텐산 스킨케어100 블러파우더,넘버즈인 1번 판토텐산 스킨케어100 블러파우더,,0
