브랜드명_정리,제품명_정리,카테고리,성분_문자열,제품명_원본
웰라쥬,리얼 히알루로닉 블루 앰플,에센스_세럼_앰플,갈랑가갈랑갈추출물 글라이신 글라이코실트레할로오스 글리세레스-26 글리세린 글리세릴아크릴레이트/아크릴릭애씨드코폴리머 다이메틸아이소소바이드 다이소듐이디티에이 다이포타슘글리시리제이트 덱스트린 돌콩추출물 라벤더오일 라피노오스 레시틴 말라카이트추출물 메틸글루세스-20 메틸프로판다이올 멕시칸주니퍼오일 바이오사카라이드검-1 베르가모트오일 베타-글루칸 벤질글라이콜 부틸렌글라이콜 사이아노코발아민 사카라이드아이소머레이트 세린 소듐디엔에이 소듐스테아로일글루타메이트 소듐시트레이트 소듐아세틸레이티드하이알루로네이트 소듐아크릴릭애씨드/엠에이코폴리머 소듐하이알루로네이트 소듐하이알루로네이트크로스폴리머 수크로오스라우레이트 시트로넬라오일 시트릭애씨드 아데노신 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머 알지닌 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머 에틸헥실글리세린 올레일알코올 잔탄검 정제수 참마뿌리추출물 치자추출물 카프릴릭/카프릭트라이글리세라이드 카프릴릴글라이콜 테트라하이드로피페린 토코페롤 트라이소듐에틸렌다이아민다이석시네이트 트레할로오스 판테놀 팔마로사오일 펜틸렌글라이콜 폴리글리세릴-10라우레이트 폴리글리세릴-10미리스테이트 폴리쿼터늄-51 프로판다이올 플로레틴 피브이엠/엠에이코폴리머 하이드로제네이티드레시틴 하이드로제네이티드스타치하이드롤리세이트 하이드록시프로필트라이모늄하이알루로네이트 하이드롤라이즈드글라이코사미노글리칸 하이드롤라이즈드소듐하이알루로네이트 하이드롤라이즈드하이알루로닉애씨드 하이알루로닉애씨드 해바라기씨오일 호호바씨오일 히스티딘,[10월 올영픽/150ml한정기획+마스크] 웰라쥬 리얼 히알루로닉 블루 100 앰플 75ml 2입 기획 (+마스크1매)
메디힐,마데카소사이드 리페어 세럼,에센스_세럼_앰플,광곽향오일 글리세린 글리세릴폴리메타크릴레이트 나이아신아마이드 다마스크장미꽃수 다이페닐다이메티콘 다이프로필렌글라이콜 로즈마리잎오일 마데카소사이드 마데카식애씨드 멜론추출물 베타-글루칸 베타인 병풀잎추출물 병풀추출물 부틸렌글라이콜 불가리스쑥오일 서양배추출물 서양송악잎/줄기추출물 세라마이드엔피 소듐하이알루로네이트 아시아티코사이드 아시아틱애씨드 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머 에틸헥실글리세린 연필향나무오일 오리스뿌리추출물 잔탄검 정제수 카프릴릴/카프릴글루코사이드 토코페롤 트라이에틸헥사노인 트로메타민 판테놀 펜틸렌글라이콜 폴리글리세릴-10라우레이트 프로판다이올 하이드로제네이티드레시틴 호호바씨오일,[단독/1+1] 메디힐 마데카소사이드 흔적 리페어 세럼 40+40ml 더블 기획
브링그린,징크테카 트러블 세럼,에센스_세럼_앰플,4-터피네올 글라이코리피드 나이아신아마이드 다이소듐이디티에이 메틸글루세스-20 메틸프로판다이올 몰로키아잎추출물 병풀추출물 소듐폴리아크릴레이트 신선초추출물 에톡시다이글라이콜 에틸헥실글리세린 연꽃뿌리추출물 오크라열매추출물 옥틸도데세스-16 옥틸도데칸올 정제수 징크피씨에이 참마뿌리추출물 카보머 트로메타민 티트리꽃/잎/줄기추출물 티트리잎수 티트리잎오일 티트리잎추출물 티트리추출물 피브이피 하이드로제네이티드레시틴,브링그린 징크테카 트러블 세럼 (대용량/콜라보/기획)
구달,청귤 비타C 잡티케어 세럼,에센스_세럼_앰플,3-O-에틸아스코빅애씨드 감초뿌리추출물 글루타티온 글리세레스-26 글리세린 나이아신아마이드 녹차추출물 다이소듐이디티에이 다이포타슘글리시리제이트 다이프로필렌글라이콜 라벤더오일 레몬껍질오일 로즈마리잎추출물 리날룰 리모넨 마데카소사이드 말토덱스트린 메틸글루세스-20 베르가모트오일 병풀잎추출물 병풀추출물 부틸렌글라이콜 사탕수수추출물 소듐아스코빌포스페이트 소듐파이테이트 소듐하이알루로네이트 아데노신 아스코빅애씨드 아스코빌글루코사이드 아시아티코사이드 아이리쉬모스추출물 알란토인 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머 에틸헥실글리세린 오렌지껍질오일 울금뿌리추출물 유비퀴논 유칼립투스잎추출물 인도멀구슬나무꽃추출물 인도멀구슬나무잎추출물 일랑일랑꽃오일 잔탄검 정제수 참산호말추출물 카보머 캐모마일꽃추출물 콜레스-24 탄제린추출물 토코페롤 토코페릴아세테이트 트로메타민 티옥틱애씨드 판테놀 포타슘하이드록사이드 폴리글리세릴-10라우레이트 하이드로제네이티드레시틴 하이드록시프로필사이클로덱스트린 하이드롤라이즈드호호바에스터 호장근뿌리추출물 홀리바질잎추출물 흰목이버섯추출물,[리뉴얼] 구달 청귤 비타C 잡티케어 세럼 알파 50ml 리필 기획 (+크림 10ml)
메디큐브,PDRN 핑크 앰플 리필기획,에센스_세럼_앰플,글리세레스-26 글리세린 글리세릴아크릴레이트/아크릴릭애씨드코폴리머 나이아신아마이드 다이소듐이디티에이 다이프로필렌글라이콜 부틸렌글라이콜 사이아노코발아민 소듐디엔에이 소듐아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머 소듐하이알루로네이트 솔비탄올리에이트 아데노신 아세틸헥사펩타이드-8 아이소프로필미리스테이트 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머 아텔로콜라겐 에틸헥실글리세린 연어알추출물 울금뿌리추출물 유비퀴논 이리추출물 인도멀구슬나무꽃추출물 인도멀구슬나무잎추출물 정제수 참산호말추출물 카퍼트라이펩타이드-1 카프릴릴/카프릴글루코사이드 카프릴릴글라이콜 트로메타민 팔미토일테트라펩타이드-7 팔미토일트라이펩타이드-1 팔미토일펜타펩타이드-4 폴리글리세린-3 폴리아이소부텐 피브이엠/엠에이코폴리머 하이드롤라이즈드콜라겐 향료 홀리바질잎추출물,[10월 올영픽/1등 미백앰플] 메디큐브 PDRN 핑크 앰플 30ml 리필기획 (본품+리필 50ML+겔패드*2매)
토리든,다이브인 저분자 히알루론산 세럼 한정기획,에센스_세럼_앰플,글리세린 글리세릴아크릴레이트/아크릴릭애씨드코폴리머 다이프로필렌글라이콜 마데카소사이드 마데카식애씨드 말라카이트추출물 모란뿌리추출물 버지니아풍년화잎추출물 베타-글루칸 베타인 부틸렌글라이콜 세라마이드엔피 소듐아세틸레이티드하이알루로네이트 소듐하이알루로네이트 소듐하이알루로네이트크로스폴리머 쇠비름추출물 알란토인 에틸헥실글리세린 잔탄검 정제수 카보머 콜레스테롤 트레할로오스 트로메타민 판테놀 펜틸렌글라이콜 폴리글리세릴-10라우레이트 프로판다이올 피브이엠/엠에이코폴리머 하이드롤라이즈드소듐하이알루로네이트 하이드롤라이즈드하이알루로닉애씨드 황금추출물,[한정기획]토리든 다이브인 저분자 히알루론산 세럼 50ml 리필 한정기획(+50ml리필+선크림20ml+패드10매)
아누아,피디알엔 히알루론산 캡슐 세럼 기획세트,에센스_세럼_앰플,가지열매추출물 글루타티온 글리세린 글리세릴올리에이트 나이아신아마이드 다이메틸실란올하이알루로네이트 라우릴글루코사이드 미리스틸글루코사이드 부틸렌글라이콜 소듐디엔에이 소듐시트레이트 소듐아세틸레이티드하이알루로네이트 소듐하이알루로네이트 소듐하이알루로네이트다이메틸실란올 소듐하이알루로네이트크로스폴리머 시트릭애씨드 아데노신 아이비고드열매추출물 울금뿌리추출물 인도멀구슬나무꽃추출물 인도멀구슬나무잎추출물 정제수 참산호말추출물 포타슘하이알루로네이트 폴리글리세릴-6라우레이트 프로판다이올 하이드로제네이티드레시틴 하이드록시프로필트라이모늄하이알루로네이트 하이드롤라이즈드소듐하이알루로네이트 하이드롤라이즈드콜라겐 하이드롤라이즈드하이알루로닉애씨드 하이알루로닉애씨드 홀리바질잎추출물 황련뿌리추출물,아누아 피디알엔 히알루론산 캡슐 100 세럼 30mL 기획세트 (+크림 30ml)
차앤박,프로폴리스 에너지 액티브 앰플 리필기획,에센스_세럼_앰플,글리세린 꿀추출물 다이소듐이디티에이 더덕뿌리추출물 도둑놈의지팡이뿌리추출물 띠뿌리추출물 레몬밤잎추출물 마데카소사이드 무화과추출물 바이오틴 베타-글루칸 부틸렌글라이콜 석류추출물 센티드제라늄꽃오일 소듐락테이트 소듐시트레이트 소듐하이알루로네이트 시트로넬올 시트릭애씨드 아스코빌팔미테이트 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머 알란토인 알지닌 정제수 제라니올 카보머 카프릴릴글라이콜 팔미토일테트라펩타이드-7 팔미토일트라이펩타이드-1 펜틸렌글라이콜 폴리솔베이트20 프로폴리스추출물 하이드록시에틸셀룰로오스 하이드록시페닐프로파미도벤조익애씨드,[10월올영픽/100ml대용량] 차앤박 프로폴리스 에너지 액티브 앰플 50ml 리필기획+키링 파우치 (아따맘마 콜라보)
파티온,노스카나인 트러블 세럼,에센스_세럼_앰플,글리세린 다이에톡시에틸석시네이트 다이프로필렌글라이콜 병풀추출물 사과추출물 석시닉애씨드 세라마이드엔피 소듐하이알루로네이트 소듐헤파린 쑥잎추출물 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머 알란토인 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머 에틸헥실글리세린 잔탄검 정제수 카프릴릴/카프릴글루코사이드 토코페롤 트로메타민 판테놀 펜틸렌글라이콜 폴리글리세릴-10라우레이트 하이드로제네이티드레시틴 하이드록시아세토페논 하이드록시에틸우레아,[10월 올영픽/트러블1등] 파티온 노스카나인 트러블 세럼 20ml 기획(+20ml)
토리든,다이브인 저분자 히알루론산 세럼,에센스_세럼_앰플,가지열매추출물 글루코노락톤 글리세린 글리세릴아크릴레이트/아크릴릭애씨드코폴리머 다이소듐이디티에이 다이포타슘글리시리제이트 다이프로필렌글라이콜 마데카소사이드 마데카식애씨드 말라카이트추출물 모란뿌리추출물 버지니아풍년화수 버지니아풍년화추출물 베타-글루칸 베타인 벤질글라이콜 부틸렌글라이콜 사과수 세라마이드엔피 소듐시트레이트 소듐아세틸레이티드하이알루로네이트 소듐카복시메틸베타-글루칸 소듐하이알루로네이트 소듐하이알루로네이트크로스폴리머 쇠비름추출물 시트릭애씨드 아이비고드열매추출물 알란토인 알로에베라꽃추출물 에틸헥실글리세린 옥탄다이올 울금뿌리추출물 인도멀구슬나무꽃추출물 인도멀구슬나무잎추출물 잔탄검 접시꽃추출물 정제수 참산호말추출물 카보머 카페인 카프릴릴글라이콜 케이프알로에잎추출물 콜레스테롤 트로메타민 티트리추출물 판테놀 펜틸렌글라이콜 폴리글루타믹애씨드 폴리글리세릴-10라우레이트 프로판다이올 피브이엠/엠에이코폴리머 하이드로제네이티드레시틴 하이드롤라이즈드글라이코사미노글리칸 하이드롤라이즈드소듐하이알루로네이트 하이드롤라이즈드하이알루로닉애씨드 하이알루로닉애씨드 홀리바질잎추출물 황금추출물 흰버드나무껍질추출물,[단독기획] 토리든 다이브인 저분자 히알루론산 세럼 50ml 기획(+멀티패드 10매)
