[1/20000] Train_loss: 1.55074, Valid_loss: 1.74831, Current_accuracy: 41.34932, Current_norm_ED: 0.68093, Best_accuracy: -1.00000, Best_norm_ED: -1.00000, Elapsed_time: 7.12016
[1000/20000] Train_loss: 1.16357, Valid_loss: 0.96566, Current_accuracy: 63.52318, Current_norm_ED: 0.84529, Best_accuracy: 41.34932, Best_norm_ED: 0.68093, Elapsed_time: 945.52093
[2000/20000] Train_loss: 0.71768, Valid_loss: 0.69093, Current_accuracy: 73.21763, Current_norm_ED: 0.90003, Best_accuracy: 63.52318, Best_norm_ED: 0.84529, Elapsed_time: 1879.13788
[3000/20000] Train_loss: 0.50398, Valid_loss: 0.53458, Current_accuracy: 78.26998, Current_norm_ED: 0.92329, Best_accuracy: 73.21763, Best_norm_ED: 0.90003, Elapsed_time: 2813.05356
[4000/20000] Train_loss: 0.38979, Valid_loss: 0.44768, Current_accuracy: 82.48531, Current_norm_ED: 0.93998, Best_accuracy: 78.26998, Best_norm_ED: 0.92329, Elapsed_time: 3741.83705
[5000/20000] Train_loss: 0.32124, Valid_loss: 0.44286, Current_accuracy: 82.86664, Current_norm_ED: 0.94262, Best_accuracy: 82.48531, Best_norm_ED: 0.93998, Elapsed_time: 4670.06489
[6000/20000] Train_loss: 0.26785, Valid_loss: 0.33648, Current_accuracy: 87.00851, Current_norm_ED: 0.95830, Best_accuracy: 82.86664, Best_norm_ED: 0.94262, Elapsed_time: 5598.00591
[7000/20000] Train_loss: 0.23432, Valid_loss: 0.29307, Current_accuracy: 88.43992, Current_norm_ED: 0.96220, Best_accuracy: 87.00851, Best_norm_ED: 0.95830, Elapsed_time: 6525.01074
[8000/20000] Train_loss: 0.21219, Valid_loss: 0.27466, Current_accuracy: 88.75783, Current_norm_ED: 0.96470, Best_accuracy: 88.43992, Best_norm_ED: 0.96220, Elapsed_time: 7451.19124
[9000/20000] Train_loss: 0.18719, Valid_loss: 0.21957, Current_accuracy: 90.91049, Current_norm_ED: 0.97080, Best_accuracy: 88.75783, Best_norm_ED: 0.96470, Elapsed_time: 8376.96500
[10000/20000] Train_loss: 0.17050, Valid_loss: 0.21295, Current_accuracy: 91.66989, Current_norm_ED: 0.97391, Best_accuracy: 90.91049, Best_norm_ED: 0.97080, Elapsed_time: 9301.99977
[11000/20000] Train_loss: 0.16221, Valid_loss: 0.26058, Current_accuracy: 91.39874, Current_norm_ED: 0.97354, Best_accuracy: 91.66989, Best_norm_ED: 0.97391, Elapsed_time: 10225.88800
[12000/20000] Train_loss: 0.15083, Valid_loss: 0.18009, Current_accuracy: 92.83563, Current_norm_ED: 0.97758, Best_accuracy: 91.66989, Best_norm_ED: 0.97391, Elapsed_time: 11150.96042
[13000/20000] Train_loss: 0.14030, Valid_loss: 0.19034, Current_accuracy: 92.50587, Current_norm_ED: 0.97714, Best_accuracy: 92.83563, Best_norm_ED: 0.97758, Elapsed_time: 12082.96881
[14000/20000] Train_loss: 0.12797, Valid_loss: 0.16462, Current_accuracy: 93.31906, Current_norm_ED: 0.97909, Best_accuracy: 92.83563, Best_norm_ED: 0.97758, Elapsed_time: 13019.23560
[15000/20000] Train_loss: 0.12804, Valid_loss: 0.18440, Current_accuracy: 93.14975, Current_norm_ED: 0.97929, Best_accuracy: 93.31906, Best_norm_ED: 0.97909, Elapsed_time: 13959.38338
[16000/20000] Train_loss: 0.12175, Valid_loss: 0.23625, Current_accuracy: 92.73495, Current_norm_ED: 0.97803, Best_accuracy: 93.31906, Best_norm_ED: 0.97929, Elapsed_time: 14899.18726
[17000/20000] Train_loss: 0.10617, Valid_loss: 0.14741, Current_accuracy: 94.09709, Current_norm_ED: 0.98156, Best_accuracy: 93.31906, Best_norm_ED: 0.97929, Elapsed_time: 15795.81998
[18000/20000] Train_loss: 0.10203, Valid_loss: 0.14479, Current_accuracy: 94.47789, Current_norm_ED: 0.98296, Best_accuracy: 94.09709, Best_norm_ED: 0.98156, Elapsed_time: 16687.46076
[19000/20000] Train_loss: 0.09678, Valid_loss: 0.13722, Current_accuracy: 94.64629, Current_norm_ED: 0.98339, Best_accuracy: 94.47789, Best_norm_ED: 0.98296, Elapsed_time: 17579.35882
[20000/20000] Train_loss: 0.09676, Valid_loss: 0.14178, Current_accuracy: 94.52960, Current_norm_ED: 0.98299, Best_accuracy: 94.64629, Best_norm_ED: 0.98339, Elapsed_time: 18478.34810
